,county_x,state_name,lat,lng,population,county_state,density
1082,Delaware,New York,42.1981,-74.9665,44551,Delaware_NY,30.801938646404448
1083,Callaway,Missouri,38.8355,-91.926,44541,Callaway_MO,53.098326260073435
1084,Henderson,Kentucky,37.7958,-87.5729,44493,Henderson_KY,101.09288375897482
1085,Suwannee,Florida,30.1956,-82.9915,44484,Suwannee_FL,64.6908265953115
1086,Holmes,Ohio,40.5612,-81.9293,44312,Holmes_OH,104.75897775361119
1087,Levy,Florida,29.3184,-82.7434,44276,Levy_FL,39.58940610525939
1088,Douglas,Wisconsin,46.4329,-91.9162,44197,Douglas_WI,33.760589093520124
1089,St. Bernard,Louisiana,29.8691,-89.5549,44172,St. Bernard_LA,94.98537760192671
1090,Madison,Ohio,39.8942,-83.4005,44126,Madison_OH,94.80491577861808
1091,Jefferson,Pennsylvania,41.1282,-78.9994,44099,Jefferson_PA,67.27741502410447
1092,Stephenson,Illinois,42.3518,-89.6623,44042,Stephenson_IL,78.06373852316638
1093,Huntingdon,Pennsylvania,40.4169,-77.9812,43844,Huntingdon_PA,50.16189005205652
1094,Siskiyou,California,41.5927,-122.5404,43834,Siskiyou_CA,6.972408768876914
1095,McClain,Oklahoma,35.0093,-97.4443,43779,McClain_OK,76.84975512138607
1096,Kandiyohi,Minnesota,45.1524,-95.0047,43757,Kandiyohi_MN,54.96696228927468
1097,Douglas,Washington,47.7361,-119.6918,43733,Douglas_WA,24.022125425013595
1098,Kay,Oklahoma,36.818,-97.1439,43731,Kay_OK,47.600957875258516
1099,Brown,Ohio,38.9338,-83.8673,43710,Brown_OH,88.88482186432407
1100,Washington,Mississippi,33.2839,-90.9474,43674,Washington_MS,60.324037624829074
1101,Baldwin,Georgia,33.0693,-83.2495,43669,Baldwin_GA,168.96498355581352
1102,Gadsden,Florida,30.5795,-84.6136,43642,Gadsden_FL,84.55621645709414
1103,Pittsburg,Oklahoma,34.9239,-95.7484,43629,Pittsburg_OK,33.4081198217376
1104,Warren,Mississippi,32.3573,-90.852,43623,Warren_MS,74.36456930498969
1105,DeKalb,Indiana,41.3976,-84.9991,43584,DeKalb_IN,120.1058201058201
1106,Chesterfield,South Carolina,34.6398,-80.1587,43575,Chesterfield_SC,54.56423741547708
1107,Dubois,Indiana,38.3643,-86.8798,43563,Dubois_IN,101.28810249017648
1108,Sullivan,New Hampshire,43.3613,-72.2221,43529,Sullivan_NH,81.00227027429379
1109,Davie,North Carolina,35.9291,-80.5445,43526,Davie_NC,164.13756693566634
1110,Franklin,Tennessee,35.1551,-86.0922,43478,Franklin_TN,78.40654980884369
1111,Camden,Missouri,38.027,-92.766,43416,Camden_MO,66.26980492719113
1112,Highland,Ohio,39.1847,-83.601,43403,Highland_OH,78.44671775592829
1113,Polk,Georgia,34.0018,-85.1881,43365,Polk_GA,139.37455807675002
1114,Stephens,Oklahoma,34.4856,-97.8515,43314,Stephens_OK,49.55608438973045
1115,Montrose,Colorado,38.4022,-108.2692,43272,Montrose_CO,19.312597908605245
1116,Erath,Texas,32.2363,-98.2179,43244,Erath_TX,39.80742499976987
1117,Pettis,Missouri,38.7283,-93.2851,43205,Pettis_MO,63.08957098215589
1118,Coffee,Georgia,31.5493,-82.8492,43161,Coffee_GA,72.06712305894139
1119,Jackson,North Carolina,35.2876,-83.1408,43089,Jackson_NC,87.8095005196552
1120,Prince George,Virginia,37.1865,-77.2242,42873,Prince George_VA,161.40727354867857
1121,Richmond,North Carolina,35.0059,-79.7479,42818,Richmond_NC,90.33714502721634
1122,Okanogan,Washington,48.5488,-119.7408,42811,Okanogan_WA,8.126505532386624
1123,Oconee,Georgia,33.835,-83.4371,42788,Oconee_GA,230.41464728056005
1124,Cerro Gordo,Iowa,43.0816,-93.2608,42785,Cerro Gordo_IA,75.2819664631464
